"C_ID","CDVA","STT_DT","C_NM","C_SQN","C_TP","C_TP_DES","CDVA_DES","CDVA_DTL","CDVA_DTL_C","CDVA_NM","END_DT","HRK_C","DEL_YN","GUID","GUID_PRG_SNO","FST_ENR_USID","FST_ENR_DTM","LST_CHG_USID","LST_CHG_DTM"
ASCT_STS_C,"011",2026-04-12 00:00:00.000,협의회상태,11,ASCT_STS_C,협의회상태,협의회상태,결재 요청 가능,,결재 요청 가능,9999-12-31 00:00:00.000,,N,B2CD7B31D2924669ACC47F3BE4F433B7,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"012",2026-04-12 00:00:00.000,협의회상태,12,ASCT_STS_C,협의회상태,협의회상태,결과보고 결재 중,,결과보고 결재 중,9999-12-31 00:00:00.000,,N,BA38A16F192D449CA01F36B4AEC51C8A,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
ASCT_STS_C,"013",2026-04-12 00:00:00.000,협의회상태,13,ASCT_STS_C,협의회상태,협의회상태,완료,,완료,9999-12-31 00:00:00.000,,N,E131E8C60715453D9E18FFC83EB72E20,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
CKG_ITM_C,"001",2026-04-12 00:00:00.000,점검항목,1,CKG_ITM_C,점검항목,점검항목,경영전략 부합성,,경영전략 부합성,9999-12-31 00:00:00.000,,N,"75E74A1069964D818AA9D3C6C61E67A8",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
CKG_ITM_C,"002",2026-04-12 00:00:00.000,점검항목,2,CKG_ITM_C,점검항목,점검항목,재무적 효과,,재무적 효과,9999-12-31 00:00:00.000,,N,"46254CA12F1348C6BB699FB53C1F8317",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
CKG_ITM_C,"003",2026-04-12 00:00:00.000,점검항목,3,CKG_ITM_C,점검항목,점검항목,리스크 영향도,,리스크 영향도,9999-12-31 00:00:00.000,,N,E8B63493E3BF41BCBBF884068BBC2F3D,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
CKG_ITM_C,"004",2026-04-12 00:00:00.000,점검항목,4,CKG_ITM_C,점검항목,점검항목,평판 영향도,,평판 영향도,9999-12-31 00:00:00.000,,N,"58906EF94EBC4D0299C2F2DE7111D33B",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
CKG_ITM_C,"005",2026-04-12 00:00:00.000,점검항목,5,CKG_ITM_C,점검항목,점검항목,중복 시스템 여부,,중복 시스템 여부,9999-12-31 00:00:00.000,,N,"795DDE9ADC824501BCC9DB06968A741F",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
CKG_ITM_C,"006",2026-04-12 00:00:00.000,점검항목,6,CKG_ITM_C,점검항목,점검항목,기타,,기타,9999-12-31 00:00:00.000,,N,E9D6D8970831436FBD38DA054F673DD9,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
DBR_TC,"001",2026-04-12 00:00:00.000,심의유형,1,DBR_TC,심의유형,심의유형,중장기 계획,,중장기 계획,9999-12-31 00:00:00.000,,N,"53C70ABEEB0147F5953C9976CAB6834C",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
DBR_TC,"002",2026-04-12 00:00:00.000,심의유형,2,DBR_TC,심의유형,심의유형,정보부문기술계획,,정보부문기술계획,9999-12-31 00:00:00.000,,N,"6BF3C01CBF2B4A11A71417CEAAE1F2A9",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
DBR_TC,"003",2026-04-12 00:00:00.000,심의유형,3,DBR_TC,심의유형,심의유형,정보시스템 사업,,정보시스템 사업,9999-12-31 00:00:00.000,,N,"4F6B7E7C8A5E4A989EE720F594012F7F",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
DBR_TC,"004",2026-04-12 00:00:00.000,심의유형,4,DBR_TC,심의유형,심의유형,정보보호시스템 사업,,정보보호시스템 사업,9999-12-31 00:00:00.000,,N,"9D9367E9175B477B99781561023B52AC",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
DBR_TC,"005",2026-04-12 00:00:00.000,심의유형,5,DBR_TC,심의유형,심의유형,기타,,기타,9999-12-31 00:00:00.000,,N,"8862EF5607C34B7CB4BF026C57A6AB7F",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
KPN_TC,"001",2026-04-12 00:00:00.000,저장구분코드,1,KPN_TC,저장구분코드,저장구분코드,임시저장,,임시저장,9999-12-31 00:00:00.000,,N,C8E93FF3C7584D729719F9763348D7B5,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
KPN_TC,"002",2026-04-12 00:00:00.000,저장구분코드,2,KPN_TC,저장구분코드,저장구분코드,저장,,저장,9999-12-31 00:00:00.000,,N,"2E0E496C75804A6296FDC83AE0CDCBF4",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
VLR_TC,"001",2026-04-12 00:00:00.000,평가자유형,1,VLR_TC,평가자유형,평가자유형,당연위원,,당연위원,9999-12-31 00:00:00.000,,N,"9EAA0230491545CD8C2A53437383CB5B",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
VLR_TC,"002",2026-04-12 00:00:00.000,평가자유형,2,VLR_TC,평가자유형,평가자유형,소집위원,,소집위원,9999-12-31 00:00:00.000,,N,F935753B1C4A40B4943F15189695DF6F,1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
VLR_TC,"003",2026-04-12 00:00:00.000,평가자유형,3,VLR_TC,평가자유형,평가자유형,간사,,간사,9999-12-31 00:00:00.000,,N,"5E394BE9282945E9A14701F3110DECAB",1,SYSTEM,2026-05-27 14:48:37.000,SYSTEM,2026-05-27 14:48:37.000
